date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2022-07-27T00:00:00.000,NE,95504,1198019,2047072,7742,64.4
2022-07-27T00:00:00.000,CT,251131,3020297,4685636,1270,80.4
2022-07-27T00:00:00.000,WY,28942,340770,400477,738,51.6
2022-07-27T00:00:00.000,NM,120082,1679190,2330380,10936,72.4
2022-07-27T00:00:00.000,MI,469391,6493911,9485856,2371,60.8
2022-07-27T00:00:00.000,AZ,375330,4986329,7375669,39629,62.7
2022-07-27T00:00:00.000,MA,406687,6130029,9062417,476,80.4
2022-07-27T00:00:00.000,MP,1385,15357,94618,9,83.9
2022-07-27T00:00:00.000,DE,62649,735342,1104183,2394,70.4
2022-07-27T00:00:00.000,OR,277667,3060054,4832519,18513,70.5
2022-05-01T00:00:00.000,DD2,326402,2474911,4638934,23572,0
2022-07-27T00:00:00.000,KY,239795,2777380,3754140,2480,58.1
2022-07-27T00:00:00.000,PW,2355,37675,9010,159,85
2022-07-27T00:00:00.000,MO,252367,3383391,5698701,2479,57
2022-07-27T00:00:00.000,VA,504987,6117637,10561171,11837,74.2
2022-07-27T00:00:00.000,GU,13593,116830,239239,394,83.6
2022-07-27T00:00:00.000,WV,67989,1222109,1536282,2059,58.3
2022-07-27T00:00:00.000,VI,2334,44790,101909,0,54
2022-07-27T00:00:00.000,MH,3071,58145,19297,5,40.4
2022-07-27T00:00:00.000,GA,344204,6033964,9042246,44285,55.6
2022-07-27T00:00:00.000,OK,155627,2471352,3496100,4423,58.3
2022-07-27T00:00:00.000,PA,791697,9364292,14022072,1513,70
2022-04-20T00:00:00.000,MP,1362,14958,92288,0,83.4
2022-07-27T00:00:00.000,VT,53880,582958,847860,892,82.3
2022-07-27T00:00:00.000,BP2,14174,151102,162909,32,0
2022-07-27T00:00:00.000,SC,232480,3052391,4547206,2337,57.9
2022-07-27T00:00:00.000,NH,89001,992362,1605507,181,71.9
2022-07-27T00:00:00.000,MS,94376,1614027,2296546,3736,52.6
2022-07-27T00:00:00.000,NY,1446120,14738865,24493898,27560,78.1
2022-07-27T00:00:00.000,AK,45949,459303,683315,1295,63
2022-07-27T00:00:00.000,ME,144388,1242562,1624753,4064,80.9
2022-07-27T00:00:00.000,VA2,256196,3974765,3460685,38,0
2022-07-27T00:00:00.000,TN,267813,3965556,6040003,70841,55.1
2022-07-27T00:00:00.000,CO,342882,4365565,6576801,12267,71.1
2022-06-03T00:00:00.000,VA2,256031,3900487,3395612,284,0
2022-07-27T00:00:00.000,SD,42124,578691,866169,148,63.1
2022-07-27T00:00:00.000,FM,13681,89826,43206,86,60
2022-07-27T00:00:00.000,MD,367521,4642781,7735538,19782,76.8
2022-07-27T00:00:00.000,AS,577,25061,85681,1210,88.8
2022-07-27T00:00:00.000,LA,200905,2640930,3627625,3326,54.1
2022-07-27T00:00:00.000,WA,490159,5699690,9009198,13693,73.3
2022-07-27T00:00:00.000,NV,188294,1745759,3150900,619,61.7
2022-07-27T00:00:00.000,IN,315531,3681098,6161790,34199,56.6
2022-07-27T00:00:00.000,CA,2320655,29621606,46905163,15629,73.1
2022-07-27T00:00:00.000,IA,179998,2127446,3035350,683,62.6
2021-06-27T00:00:00.000,BP2,8300,79930,105837,0,0
2022-07-27T00:00:00.000,PR,152866,2812796,4445654,330,83.7
2022-07-27T00:00:00.000,IH2,41679,1080739,1203412,173,42.5
2022-07-27T00:00:00.000,OH,631063,7073645,10882094,21162,59
2022-07-27T00:00:00.000,IL,682464,8361700,14490666,30796,69.3
2022-07-27T00:00:00.000,RI,66247,888888,1368444,2110,84.2
2022-07-27T00:00:00.000,AL,178203,2830967,3478916,663,51.9
2022-07-27T00:00:00.000,TX,1584036,17807094,29481804,6442,62.6
2022-07-27T00:00:00.000,NJ,580791,6767478,10572681,4159,76.8
2022-07-27T00:00:00.000,NC,520126,6522903,10411007,1080,63
2022-07-27T00:00:00.000,ID,89173,968777,1546484,4222,56.1
2022-07-27T00:00:00.000,DC,38644,598760,1001706,2032,77.6
2021-07-25T00:00:00.000,IH2,27236,780994,675106,0,32.6
2022-07-27T00:00:00.000,WI,336865,4122508,6324747,3157,66.3
2022-07-27T00:00:00.000,UT,186021,1873282,3359189,406,65
2022-07-27T00:00:00.000,FL,1490703,14445252,22848711,153578,67.9
2022-07-27T00:00:00.000,HI,71244,1144927,1905806,622,79.4
2022-07-27T00:00:00.000,KS,137237,1809173,2788185,5233,62.9
2022-07-20T00:00:00.000,PR,152866,2812743,4445643,345,83.7
2022-07-20T00:00:00.000,NC,519832,6497437,10372514,1175,62.9
2022-07-20T00:00:00.000,SC,232379,3040855,4531339,2338,57.9
2022-07-20T00:00:00.000,WI,336736,4106404,6298409,3104,66.3
2022-07-20T00:00:00.000,MS,94306,1609238,2290270,3697,52.5
2022-07-20T00:00:00.000,WV,67959,1218329,1530315,2048,58.3
2021-10-17T00:00:00.000,MP,803,9687,60818,0,60.7
2022-07-20T00:00:00.000,KY,239669,2766580,3738605,2539,58
2022-07-20T00:00:00.000,DE,62617,733006,1100227,2396,70.3
2022-07-20T00:00:00.000,AK,45928,457760,681442,1289,62.9
2022-07-20T00:00:00.000,VT,53860,580685,844117,893,82.2
2022-07-20T00:00:00.000,GA,343902,6015142,9011835,43997,55.6
2022-07-20T00:00:00.000,CT,251008,3009739,4670062,1262,80.3
2022-07-20T00:00:00.000,OH,630592,7044605,10834490,21378,59
2022-07-20T00:00:00.000,WY,28924,339592,399079,733,51.5
2022-07-20T00:00:00.000,IH2,41636,1078133,1198237,173,42.5
2022-07-20T00:00:00.000,LA,200756,2632385,3616589,3408,54.1
2022-07-20T00:00:00.000,IA,179882,2116889,3019381,682,62.6
2022-05-26T00:00:00.000,AS,575,24680,84231,1185,88.2
2022-07-20T00:00:00.000,MP,1385,15331,94364,9,83.8
2022-07-20T00:00:00.000,ME,144343,1237620,1618005,4030,80.8
2022-07-20T00:00:00.000,HI,71233,1135054,1899790,590,79.3
2022-07-20T00:00:00.000,CO,342663,4349175,6548104,12730,71
2022-07-20T00:00:00.000,GU,13588,116673,238886,392,83.6
2022-07-20T00:00:00.000,TN,267534,3950040,6016453,70755,55.1
2022-07-20T00:00:00.000,IN,315399,3671530,6145299,34190,56.6
2022-07-20T00:00:00.000,VA,504559,6092697,10518341,11763,74
2022-07-20T00:00:00.000,AS,577,25012,85484,1208,88.7
2022-07-20T00:00:00.000,TX,1582567,17741246,29339405,6347,62.5
2022-07-20T00:00:00.000,NY,1445190,14696667,24426125,27458,78
2022-07-20T00:00:00.000,MT,61895,694692,888762,2434,57.4
2022-07-20T00:00:00.000,MD,367306,4621464,7703467,19629,76.7
2022-07-20T00:00:00.000,VA2,256181,3964093,3451577,40,0
